Projektname,Stadt,Betreiber,beteiligte Akteure,Projekttyp,Gebäudenutzung,Fertigstellung,Anzahl der Wohneinheiten,Anzahl der Gebäude,Wärmequelle,min. Vorlauftemperatur im Winter in °C,max .Vorlauftemperatur im Winter in °C,min. Vorlauftemperatur im Sommer in °C,max. Vorlauftemperatur im Sommer in °C,Vorlauftemperatur ganzjährig in °C,Fläche der Erdwärmekollektoren in m^2,Anzahl der Sonden,Installationstiefe,Spitzenförderstrom [m^3/h],Länge des Wärmenetzes in km,Leitungart,Spezifikationen der Wärmequelle,Gebäudeeffizienz Standards,Wärmebedarf,Heizleistung [kW],Kühlleistung [kW],Jährliche Wärmemenge [MWh/a],Jährliche Kältemenge [MWh/a],Brauchwassertemperatur in °C,Heizwassertemperatur in °C,DT in °C,Primärenergiefaktor,zentrale oder dezentrale Wärmepumpen,Wärmepumpentechnologie,Einbindung von EE,Wärmegestehungskosten,Arbeitspreis [ct/kWh],Anschlusszwang,Abrechnungsgrenze für gelieferte Wärme,Internet-Link,Longitude,Latitude
Arealnetz Lott,Achern,EnBW Energie Baden-Württemberg AG,-,Neubaugebiet,Wohnen,2022,-,4,"Oberirdische Gewässer, Umgebungsluft",2.0,23.0,2.0,23.0,2 bis 23,-,-,-,-,0.15,Kunststoff / gedämmt,-,-,-,50.0,optional,-,optional,-,-,-,-,zentral,-,-,-,-,Nein,Kondensator der Wärmepumpe (gebäudeseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/achern-arealnetz-lott,8.0735581,48.6300161
Dühlholzkämpe-Süd,Auhagen,LeineNetz GmbH,Steinhäuser,Neubaugebiet,Wohnen,2021,-,25,Erdwärmekollektoren,-,-,-,-,-,1560.0,-,-,-,-,-,"Horizontaleinbau, hälfte der Kollektorfläche unter Regenrückhaltebecken",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/duehlholzkaempe-sued-auhagen,9.297536437225153,52.39520485
-,Aurich,-,-,-,-,2010,-,-,Abwärme (Molkerei),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"https://land-der-ideen.de/projekt/kalte-fernwaerme-aurich-2822 , https://www.heizungsjournal.de/print/molkereiabwasser-als-quelle-kalter-fernwaerme_16360 , https://www.sciencedirect.com/science/article/pii/S1364032118308608",7.391528704156271,53.51228535
Ringeisenstraße,Bad Grönenbach,Lechwerke AG,-,-,-,-,30,-,Erdwärmesonden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://www.lew.de/ueber-lew/presse/waermekonzept-bad-groenenbach,10.2215159,47.8777154
Am Holzberg,Bad Nauheim,Stadtwerke Bad Nauheim GmbH,Steinhäuser,Neubaugebiet,Wohnen,2022,-,-,Erdwärmekollektoren,-,-,-,-,-,2500.0,-,-,-,-,-,Horizontaleinbau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/am-holzberg,8.7473608,50.3681107
Bad Nauheim Süd,Bad Nauheim,Stadtwerke Bad Nauheim GmbH,Steinhäuser,Neubaugebiet,Wohnen,2021,400,120,"Erdwärmekollektoren, Eisspeicher",-2.0,-2.0,16.0,16.0,"W: -2, S: 16",22400.0,-,-,-,6.0,Kunststoff / ungedämmt,zwei-lagige Erdwärmekollektoren,-,-,1400.0,optional,3000.0,optional,-,-,-,-,-,-,-,-,-,Nein,-," https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/bad-nauheim-sued , https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/bad-nauheim-sued",8.7473608,50.3681107
Lagarde Campus West,Bamberg,STWB Stadtwerke Bamberg GmbH,Steinhäuser,Neubaugebiet,"Wohnen,  Gewerbe",2023,500,-,"Erdwärmesonden, Erdwärmekollektoren, Wärmeübertrager im kommunalen Abwasserkanal, gewerblich Abwärme",6.0,6.0,6.0,6.0,6,20000.0,-,-,-,5.5,Kunststoff / ungedämmt,11000 m^2 unter Gebäuden in Beton eingegeben und 9000 m^2 in Freiflächen ( Grünflächen in Innenhöfen),-,-,3200.0,optional,-,optional,-,-,-,-,zentral,-,Dach PV,-,-,ja,Kondensator der Wärmepumpe (gebäudeseitig),https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/lagarde-campus-bamberg-west,10.8868478,49.8916044
Lagarde-Campus-Ost,Bamberg,STWB Stadtwerke Bamberg GmbH,Steinhäuser,Neubaugebiet,"Wohnen, Gewerbe",2025,-,-,"Erdwärmekollektoren, Sonden, BHKWs, Abwasserrückwärmegewinnung",-,-,-,-,-,12000.0,-,-,-,-,-,12.000 m² Kollektorfläche unter Gebäuden und in der Freifläche,-,-,-,-,-,-,-,-,-,-,-,-,Dach-PV,-,-,-,-,https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/lagarde-campus-ost,10.8868478,49.8916044
Ressourcenschutzsiedlung Kaster,Bedburg,E.ON Energy Solutions GmbH,-,Neubaugebiet,Wohnen,2022,-,110,"Erdwärmekollektoren, Wärmeübertrager im kommunalen Abwasserkanal, Umgebungsluft",45.0,50.0,12.0,15.0,"W: 45 bis 50, S: 12 bis 15",-,-,-,-,1.88,Kunststoff / ungedämmt,-,-,-,425.0,optional,-,optional,-,-,-,0.49,-,-,Dach PV,-,-,Nein,-,https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/bedburg-ressourcenschutzsiedlung-kaster,6.5767648,50.9972161
Urban Tech Rep./Schumacher-Q.,Berlin-Tegel,Grenn Urban Energy GmbH,-,Neubaugebiet / Bestandsgebäude,"Wohnen,  Gewerbe",2026,-,-,"gewerbliche Abwärme, BHKW",40.0,40.0,20.0,20.0,"W:40, S: 20",-,-,-,-,-,-,Absicht ist einen Marktplatz unter allen Netznutzern zu erzeugen für Abwärme,-,-,-,-,-,-,-,-,-,-,-,-,"Dach - PV, Elektrische Autos",-,-,-,-,https://schumacher-quartier.de/,13.2896968,52.5881913
Hochvogelstraße,Biberach,e.wa riss GmbH & Co. KG,-,-,-,2016,-,-,Erdwärmesonden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"https://www.sciencedirect.com/science/article/pii/S1364032118308608 , https://www.ewa-riss.de/waermeversorgung-in-biberach",9.7931144,48.101927
Bodenmais,Bodenmais,-,Ratiotherm,Bestandsgebäude,"Wohnen,  Gewerbe",2017,-,19,"Holzheizung, Solarthermie",-,-,-,-,-,-,-,-,-,0.95,Kunststoff / gedämmt,"400kW Holzheizung, 110m^2 Solartherie, Pufferspeicher 25.00l, ""kleine Wärmepumpe für jeden der 19 Haushalte",-,-,400.0,-,-,-,-,-,-,-,dezentral,-,Solarthermie,-,-,Nein,Kondensator der Wärmepumpe (gebäudeseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/bodenmais,13.0996367,49.0668258
Dammbrück,Böklund,Stadtwerke SH GmbH & Co. KG,Steinhäuser,Neubaugebiet,Wohnen,2023,-,80,Erdwärmekollektoren,-,-,-,-,-,4000.0,-,-,-,-,-,"Horizontaleinbau, unter Regenrückhaltebecken",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/dammbrueck , https://www.stadtwerke-sh.de/schleswig/produkte/waerme/kalte-nahwaerme/projekt-in-boeklund",9.5835687,54.5999705
Am Vohbach,Burgheim (Bayern),-,-,Neubaugebiet,Wohnen,2018,-,38,Erdwärmesonden,13.0,13.0,13.0,13.0,13,-,60.0,60.0,-,-,-,-,"KfW 40, KfW 40+",-,-,-,-,-,-,-,-,-,dezentral,-,-,-,-,Nein,-,https://www.donaukurier.de/archiv/ein-kaltes-netz-fuer-ein-warmes-burgheim-3315405,11.0165677,48.7003635
Westlich der Bahn,Damme (Dümmer),Energiegenossenschaft,-,Neubaugebiet,Wohnen,2022,-,75,Erdwärmesonden,-,-,-,-,-,-,-,-,-,1.5,Kunststoff / ungedämmt,-,-,-,171.0,optional,-,optional,-,-,-,-,dezentral,-,-,-,-,Nein,Verdampfer der Wärmepumpe (netzseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/damme-westlich-der-bahn,8.3084887,52.5288957
Kastanienallee am Teich,Darmstadt,Projekt Kastanienalle am Teich GmbH & Co. KG,"GeoAlto, tewag Gmbh",Neubaugebiet,Wohnen,2023,-,47,Oberirdische Gewässer,-,-,-,-,-,-,-,5.3,-,-,-,Wärmequelle ist der See in der Mitte des Baugebietssowie Nutzung des Wärmenetzes als Kollektor,-,-,160.0,30,260.0,18,-,-,-,-,dezentral,-,Dach PV,-,-,-,-,https://www.geoalto.de/de/case-studies/kastanienallee-am-teich,8.6736295,49.8851869
Ludwigshöhviertel,Darmstadt,tewag Gmbh,Entega AG,Neubaugebiet,"Wohnen,  Gewerbe",2026,1400,-,Erdwärmesonden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,280.0,-,500.0,-,-,-,-,-,zentral,-,-,-,-,-,-,https://www.geoalto.de/de/case-studies/ludwigshoehviertel,8.6736295,49.8851869
